"";"mandante";"visitante";"time"
"128";"ATL";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"129";"SAN";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"130";"PAL";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"131";"COR";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"132";"ATL";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"133";"CHA";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"134";"RED";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"135";"BAH";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"136";"CEA";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"137";"INT";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"138";"ATL";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"139";"SAO";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"140";"FLU";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"141";"CUI";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"142";"JUV";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"143";"ATH";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"144";"SPO";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"145";"CEA";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"146";"AME";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"147";"GRE";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"148";"SAN";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"149";"PAL";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"150";"FLA";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"151";"FOR";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"152";"CUI";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"153";"CHA";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"154";"RED";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"155";"BAH";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"156";"INT";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"157";"ATL";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"158";"SAO";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"159";"COR";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"160";"FLA";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"161";"GRE";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"162";"AME";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"163";"SAN";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"164";"PAL";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"165";"FLU";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"166";"SPO";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"167";"CEA";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"168";"ATH";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"169";"JUV";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"170";"ATL";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"171";"ATL";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"172";"JUV";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"173";"RED";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"174";"SPO";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"175";"FOR";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"176";"GRE";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"177";"AME";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"178";"SAN";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"179";"PAL";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"180";"FLU";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"181";"CUI";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"182";"CHA";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"183";"ATH";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"184";"BAH";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"185";"CEA";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"186";"INT";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"187";"ATL";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"188";"SAO";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"189";"COR";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"190";"FLA";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"191";"ATL";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"192";"JUV";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"193";"RED";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"194";"SPO";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"195";"FOR";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"196";"GRE";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"197";"AME";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"198";"PAL";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"199";"SAN";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"200";"FLU";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"201";"ATL";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"202";"CUI";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"203";"CHA";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"204";"ATH";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"205";"BAH";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"206";"CEA";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"207";"INT";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"208";"SAO";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"209";"COR";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"210";"FLA";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"211";"SAO";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"212";"COR";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"213";"FLU";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"214";"INT";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"215";"AME";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"216";"CEA";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"217";"SPO";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"218";"ATL";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"219";"JUV";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"220";"ATH";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"221";"RED";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"222";"CUI";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"223";"CHA";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"224";"BAH";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"225";"FOR";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"226";"GRE";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"227";"ATL";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"228";"SAN";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"229";"PAL";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"230";"FLA";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"231";"ATL";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"232";"CHA";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"233";"RED";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"234";"SPO";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"235";"CEA";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"236";"GRE";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"237";"AME";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"238";"SAO";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"239";"COR";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"240";"FLU";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"241";"CUI";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"242";"JUV";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"243";"ATH";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"244";"SPO";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"245";"FOR";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"246";"INT";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"247";"ATL";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"248";"SAN";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"249";"PAL";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"250";"FLU";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"251";"COR";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"252";"CUI";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"253";"CHA";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"254";"RED";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"255";"BAH";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"256";"FOR";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"257";"INT";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"258";"ATL";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"259";"SAO";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"260";"FLA";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"261";"PAL";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"262";"FLA";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"263";"SAO";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"264";"AME";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"265";"ATL";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"266";"CHA";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"267";"ATH";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
